Comment,Designator,Footprint
10uF,C1,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder
100n,C2,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder
100n,C3,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder
100n,C4,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder
100n,C5,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder
100n,C6,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder
22p,C7,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder
22p,C8,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder
1u,C9,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder
100n,C10,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder
100n,C11,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder
100n,C12,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder
100n,C13,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder
Ferrite_Bead,FB1,Inductor_SMD:L_1206_3216Metric_Pad1.22x1.90mm_HandSolder
POWER-GPIO,GPIO1,Connector_PinSocket_2.54mm:PinSocket_1x07_P2.54mm_Vertical
RIGHT-BOARD-CONN,GPIO2,Connector_PinSocket_2.54mm:PinSocket_1x15_P2.54mm_Vertical
USB_C_Receptacle_USB2.0,J1,USB4105-GF-A:GCT_USB4105-GF-A
SPI-CONN,J2,Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical
10u,L1,Inductor_SMD:L_1206_3216Metric_Pad1.22x1.90mm_HandSolder
GREEN_POWER_LED,PWR1,LED_THT:LED_D3.0mm_Clear
22,R1,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder
22,R2,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder
1k,R3,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder
100,R4,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P15.24mm_Horizontal
5k1,R5,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder
5k1,R6,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder
10k,R7,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder
RESET_BUTTON,RESET1,Button_Switch_THT:SW_Tactile_SPST_Angled_PTS645Vx31-2LFS
ATmega32U4-AU,U1,Package_QFP:TQFP-44_10x10mm_P0.8mm
nrf24l01_SPI_CONN,WIRELESS1,Connector_PinSocket_2.54mm:PinSocket_2x04_P2.54mm_Vertical
16MHz,Y1,Crystal:Crystal_HC18-U_Vertical
